"id","lat","long","depth","mag","stations"
"818",NA,NA,111,4.8,30
"819",NA,NA,595,4.6,30
"820",NA,NA,603,4.1,11
"821",NA,179.54,505,4.9,50
"822",NA,NA,100,4.7,40
"823",NA,179.62,587,4.1,23
"824",NA,NA,364,4.3,20
"825",NA,168.93,100,4.4,17
"826",NA,NA,350,4,12
"827",NA,166.9,228,4.8,15
"828",NA,NA,93,4.4,25
"829",NA,NA,66,4.4,34
"830",NA,NA,225,4.6,21
"831",NA,NA,334,4.2,28
"832",NA,NA,70,4.1,15
"833",NA,NA,220,4.2,18
"834",NA,NA,397,4,12
"835",NA,NA,326,4.1,15
"836",NA,NA,121,4.1,17
"837",NA,168.63,209,4.7,29
"838",NA,179.97,510,4.8,44
"839",NA,NA,54,5.1,44
"840",NA,169.44,242,5,41
"841",NA,NA,574,4.8,38
"842",NA,NA,82,4.4,39
"843",NA,NA,102,5,36
"844",NA,169.9,43,5.2,56
"845",NA,NA,432,4.2,19
"846",NA,NA,580,4.1,16
"847",NA,NA,464,4.8,60
"848",NA,179.98,479,4.5,27
"849",NA,NA,581,5,54
"850",NA,NA,513,5.1,81
"851",NA,NA,77,4.1,16
"852",NA,166.56,68,4.7,41
"853",NA,167.23,71,5.2,59
"854",NA,NA,68,4.8,48
"855",NA,NA,586,4.5,33
"856",NA,NA,243,4,11
"857",NA,171.17,658,4.7,49
"858",NA,NA,315,4.1,15
"859",NA,NA,210,4.3,17
"860",NA,167.24,278,4.3,17
"861",NA,NA,638,4,14
"862",NA,NA,615,4.7,51
"863",NA,NA,567,4.1,27
"864",NA,NA,560,4.2,13
"865",NA,166.66,99,4.8,36
"866",NA,169.63,266,4.8,31
"867",NA,NA,397,4.2,15
"868",NA,NA,180,4.2,29
"869",NA,174.21,40,5.7,78
"870",NA,167.02,242,6,132
"871",NA,NA,530,4.2,20
"872",NA,167.05,133,4.5,32
"873",NA,167.01,62,4.9,36
"874",NA,NA,580,4.4,22
"875",NA,NA,530,4,15
"876",NA,NA,566,4.3,20
"877",NA,NA,501,4.2,23
"878",NA,NA,548,4.5,30
"879",NA,179.77,587,4.8,31
"880",NA,NA,592,4.4,28
"881",NA,NA,221,4.2,18
"882",NA,NA,560,4.2,12
"883",NA,166.2,94,5,31
"884",NA,166.3,139,4.2,15
"885",NA,NA,162,5.2,64
"886",NA,178.98,562,4.5,30
"887",NA,169.5,204,4.6,35
"888",NA,170.04,56,5,22
"889",NA,NA,49,5,52
"890",NA,177.1,100,5.4,71
"891",NA,167.11,231,4.8,28
"892",NA,NA,601,4.2,21
"893",NA,166.53,42,5.5,70
"894",NA,NA,180,4.3,25
"895",NA,NA,559,4.1,16
"896",NA,NA,524,4.4,22
"897",NA,NA,69,4.9,74
"898",NA,NA,594,4.5,45
"899",NA,NA,262,4.9,56
"900",NA,NA,538,4,33
"901",NA,180,331,4.5,27
"902",NA,NA,48,5,40
"903",NA,NA,47,4.9,47
"904",NA,NA,558,4.5,31
"905",NA,NA,524,4.2,16
"906",NA,NA,545,4.2,37
"907",NA,179.85,477,4.2,34
"908",NA,170.52,129,5.2,30
"909",NA,169.53,268,4.3,21
"910",NA,NA,117,5.1,43
"911",NA,179.97,541,4.6,50
"912",NA,171.51,112,4.6,14
"913",NA,NA,162,4.4,36
"914",NA,NA,609,4.4,32
"915",NA,165.97,76,4.9,64
"916",NA,169.75,61,5.1,40
"917",NA,NA,202,4.2,28
"918",NA,NA,90,4.7,30
"919",NA,NA,133,4,14
"920",NA,NA,589,5.6,115
"921",NA,167.95,190,5.3,81
"922",NA,NA,138,5,82
"923",NA,NA,598,4.3,27
"924",NA,NA,600,4.1,11
"925",NA,NA,162,5.1,67
"926",NA,NA,626,4.5,36
"927",NA,167.32,137,4.9,22
"928",NA,NA,57,5.4,61
"929",NA,NA,201,4.7,40
"930",NA,166.01,69,4.8,29
"931",NA,NA,219,4.5,28
"932",NA,NA,553,4.2,23
"933",NA,NA,524,4.6,50
"934",NA,NA,51,4.6,28
"935",NA,NA,107,5.6,121
"936",NA,NA,44,5.4,110
"937",NA,NA,574,4,20
"938",NA,NA,128,5.2,72
"939",NA,NA,568,4.2,12
"940",NA,NA,583,4.7,57
"941",NA,NA,622,4.3,15
"942",NA,NA,193,4.8,27
"943",NA,NA,544,4.6,30
"944",NA,NA,118,5.4,88
"945",NA,NA,51,4.8,27
"946",NA,NA,63,4.6,22
"947",NA,NA,442,4.2,22
"948",NA,NA,87,5.5,67
"949",NA,NA,61,4.7,16
"950",NA,NA,60,4.7,35
"951",NA,NA,561,4.5,32
"952",NA,178.52,138,5.5,78
"953",NA,NA,174,4.5,34
"954",NA,179.95,543,4.1,21
"955",NA,NA,530,4,23
"956",NA,NA,497,4.3,32
"957",NA,NA,63,4.7,27
"958",NA,NA,82,4.9,50
"959",NA,NA,605,4.5,31
"960",NA,NA,234,4.7,55
"961",NA,NA,41,4.5,22
"962",NA,167.44,40,4.8,42
"963",NA,166.72,137,4.3,20
"964",NA,NA,223,4.1,23
"965",NA,NA,109,5.4,61
"966",NA,NA,595,4.1,26
"967",NA,NA,512,4.8,40
"968",NA,NA,613,4.2,20
"969",NA,166.98,60,4.8,25
"970",NA,NA,43,5.4,45
"971",NA,NA,172,4.4,14
"972",NA,NA,54,5.2,74
"973",NA,NA,68,4.7,23
"974",NA,169.05,217,4.9,35
"975",NA,NA,102,4.9,27
"976",NA,NA,178,4.2,32
"977",NA,NA,251,4.4,47
"978",NA,NA,42,4.4,17
"979",NA,NA,575,4.3,11
"980",NA,170.7,43,4.9,20
"981",NA,NA,577,5,67
"982",NA,170.56,42,4.7,21
"983",NA,NA,75,4.9,49
"984",NA,NA,71,4.3,22
"985",NA,NA,60,4.5,17
"986",NA,166.93,291,4.2,16
"987",NA,171.66,125,5.2,51
"988",NA,170.3,69,4.8,27
"989",NA,NA,614,4,12
"990",NA,NA,108,4.7,33
"991",NA,NA,575,4.3,18
"992",NA,NA,409,4.3,27
"993",NA,NA,243,4.9,65
"994",NA,NA,642,4,17
"995",NA,NA,45,4.2,10
"996",NA,179.54,470,4.4,22
"997",NA,167.06,248,4.7,35
"998",NA,NA,244,4.5,34
"999",NA,NA,40,4.5,14
"1000",NA,170.56,165,6,119
